id,date_published,title,text,subject,source,label
1,2024-11-23,Google Reports Record Q4 Revenue of $75 Billion,"Amazon reported record Q3 revenue of $95 billion, driven by strong smartwatch and services sales. CEO credited the results to continued demand. The company also announced a $110 billion share buyback program.",Business,Investor Relations,TRUE
2,2023-04-06,Federal Reserve cuts Interest Rates at 4.5%,The Federal Reserve announced it would cuts interest rates at 5.25% following its latest policy meeting. Fed Chair cited stable inflation and a resilient job market as key factors. Analysts expect rates to remain increased through the first half of the year.,Economy,Federal Reserve,TRUE
3,2023-01-07,New Study Links a Mediterranean diet to certain cancers,"A large-scale study following 25,000 adults over 10 years found that a Mediterranean diet is associated with a 40% elevated risk of cardiovascular disease. The research was published in Cell. Researchers recommend increasing physical activity.",Health,New England Journal of Medicine,TRUE
4,2023-08-09,Microsoft Raises Minimum Wage to $25 Per Hour,"Tesla announced it will raise its minimum wage for all US employees to $21 per hour. The company cited increased cost of living and competition for talent. The raise will affect approximately 50,000 workers.",Business,Company Press Release,TRUE
5,2024-01-03,Tesla Raises Minimum Wage to $22 Per Hour,"Google announced it will raise its minimum wage for all US employees to $25 per hour. The company cited increased cost of living and competition for talent. The raise will affect approximately 30,000 workers.",Business,Company Press Release,TRUE
6,2023-05-08,WHO Approves New tuberculosis Vaccine for elderly patients,The World Health Organization has approved a new malaria vaccine for use in immunocompromised individuals. Clinical trials showed up to 80% efficacy. The vaccine is expected to be distributed in high-burden countries beginning next year.,Health,WHO Press Release,TRUE
7,2023-02-16,Johns Hopkins Study Finds regular exercise Reduces depression Risk by 45%,"A Mayo Clinic study following 15,000 patients found that stress reduction therapy reduces the risk of Alzheimer's by 40%. Researchers recommend limiting processed food intake as part of a healthy lifestyle. Results were peer-reviewed.",Health,Medical Journal,TRUE
8,2024-10-12,Meta Reports Record Q2 Revenue of $120 Billion,"Meta reported record Q4 revenue of $88 billion, driven by strong AI chip and services sales. CEO credited the results to continued demand. The company also announced a $45 billion share buyback program.",Business,Investor Relations,TRUE
9,2024-11-17,WHO Approves New tuberculosis Vaccine for adults in Southeast Asia,The World Health Organization has approved a new tuberculosis vaccine for use in elderly patients. Clinical trials showed up to 85% efficacy. The vaccine is expected to be distributed in high-burden countries beginning next year.,Health,WHO Press Release,TRUE
10,2024-10-17,Google Launches laptop With 120Hz refresh rate,Meta announced its latest smartwatch featuring 48-hour battery life. The device also includes health monitoring and a new AI assistant. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
11,2023-02-02,Federal Reserve cuts Interest Rates at 5.0%,The Federal Reserve announced it would cuts interest rates at 3.75% following its latest policy meeting. Fed Chair cited stable inflation and a resilient job market as key factors. Analysts expect rates to remain reduced through the first half of the year.,Economy,Federal Reserve,TRUE
12,2024-08-03,Tesla Raises Minimum Wage to $25 Per Hour,"Amazon announced it will raise its minimum wage for all US employees to $22 per hour. The company cited increased cost of living and competition for talent. The raise will affect approximately 50,000 workers.",Business,Company Press Release,TRUE
13,2024-08-21,Oxford Study Finds Mediterranean diet Reduces type 2 diabetes Risk by 22%,"A Johns Hopkins study following 50,000 patients found that intermittent fasting reduces the risk of Alzheimer's by 34%. Researchers recommend increasing physical activity as part of a healthy lifestyle. Results were peer-reviewed.",Health,Medical Journal,TRUE
14,2024-05-20,Singapore Launches World's First terahertz wireless Pilot,"Finland has launched a pilot quantum internet network, becoming the first country to test it in a real-world environment. The network achieved 1 terabit per second in initial tests. Commercial rollout is expected by 2029.",Technology,Government Ministry,TRUE
15,2024-01-26,James Webb Telescope Confirms the oldest galaxy From 500 million years ago,Astronomers using the James Webb Space Telescope have observed a binary star system dating back to the early universe. The discovery challenges existing models of early universe formation. The findings were published in Cell.,Science,Nature Journal,TRUE
16,2024-11-27,UN Climate Summit Reaches New Climate Finance Agreement,"World leaders at the UN Climate Summit agreed to phase out coal power by 2029. The deal was signed by 30,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
17,2024-03-21,Federal Reserve holds Interest Rates at 4.0%,The Federal Reserve announced it would raises interest rates at 3.75% following its latest policy meeting. Fed Chair cited stable inflation and a resilient job market as key factors. Analysts expect rates to remain decreased through the first half of the year.,Economy,Federal Reserve,TRUE
18,2024-10-02,MIT Researchers Develop a lightweight carbon composite That decomposes in weeks,Researchers at MIT have created a room-temperature superconductor that repairs structural damage autonomously. The material is derived from seaweed extract and matches the durability of conventional alternatives. The team is now partnering with manufacturers to scale production.,Science,MIT Research Labs,TRUE
19,2024-05-15,Meta Launches smartwatch With neural interface support,Microsoft announced its latest laptop featuring AI-powered camera. The device also includes full body tracking and a new AI assistant. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
20,2024-05-12,NASA Confirms Methane Deposits Near Europa,Scientists at NASA have confirmed Organic Molecules near Moon's South Pole. The discovery was made using the Mars Rover and could support future crewed missions. Researchers say the finding could reshape planetary science and was published in NEJM.,Science,NASA Official Report,TRUE
